610.413 32.2186 -0.00210107 -0.00210107
610.213 32.2191 0.0320471 -0.00210107
610.013 32.2126 0.0661952 -0.00291785
609.813 32.1994 0.100343 -0.00456996
609.614 32.1794 0.134492 -0.00707525
609.416 32.1526 0.16864 -0.0104507
609.219 32.119 0.202788 -0.0147123
609.023 32.0787 0.236936 -0.0198747
608.828 32.0318 0.271084 -0.0259512
608.636 31.9782 0.305232 -0.0329533
608.445 31.9181 0.33938 -0.0408905
608.256 31.8515 0.373529 -0.0497702
608.07 31.7786 0.407677 -0.0595973
607.887 31.6993 0.441825 -0.0703737
607.706 31.6137 0.475973 -0.0820985
607.528 31.5221 0.510121 -0.0947671
607.354 31.4244 0.544269 -0.108372
607.182 31.3209 0.564705 -0.1229
607.013 31.2138 0.58514 -0.138084
606.847 31.1034 0.605575 -0.153917
606.682 30.9895 0.62601 -0.170389
606.52 30.8724 0.646445 -0.187491
606.361 30.7519 0.666881 -0.205208
606.203 30.6282 0.687316 -0.223526
606.049 30.5013 0.707751 -0.242426
605.897 30.3713 0.716031 -0.261888
605.746 30.24 0.724311 -0.281728
605.596 30.1075 0.732591 -0.301937
605.448 29.9737 0.740871 -0.322502
605.3 29.8387 0.749151 -0.343411
605.154 29.7025 0.757431 -0.364651
605.008 29.5651 0.765711 -0.386206
604.864 29.4265 0.773991 -0.408061
604.721 29.2867 0.773991 -0.430199
604.578 29.1469 0.773991 -0.452533
604.435 29.0071 0.773991 -0.475053
604.292 28.8673 0.773991 -0.497748
604.149 28.7275 0.773991 -0.52061
604.006 28.5877 0.773991 -0.543627
603.863 28.4479 0.773991 -0.566788
603.72 28.3081 0.773991 -0.590081
603.577 28.1683 0.753556 -0.613495
603.431 28.0314 0.733121 -0.636924
603.282 27.8976 0.712686 -0.660367
603.131 27.7668 0.69225 -0.683824
602.977 27.6392 0.671815 -0.707295
602.82 27.5147 0.65138 -0.73078
602.661 27.3934 0.630945 -0.754279
602.5 27.2755 0.61051 -0.777792
602.336 27.1608 0.580511 -0.801318
602.169 27.0511 0.550513 -0.824816
601.998 26.9465 0.520514 -0.848284
601.825 26.847 0.490516 -0.871721
601.648 26.7528 0.460517 -0.895126
601.469 26.6639 0.430519 -0.918498
601.288 26.5805 0.40052 -0.941835
601.103 26.5025 0.370522 -0.965137
600.917 26.4301 0.334211 -0.988402
600.728 26.3644 0.297899 -1.01159
600.537 26.3057 0.261588 -1.0347
600.344 26.254 0.225277 -1.05773
600.149 26.2093 0.188965 -1.08067
599.952 26.1718 0.152654 -1.10352
599.755 26.1414 0.116343 -1.12627
599.556 26.1182 0.0800313 -1.14891
