12.2061 -14.7 0 0 1
12.7061 -14.7 0 0 1
13.2061 -14.7 0 0 1
13.7058 -14.7157 -0.0629706 1.26975e-321 1
14.2035 -14.7629 -0.125941 -0.00393306 1
14.7004 -14.8172 -0.0782997 -0.0115397 1
14.2035 -14.7624 -0.14127 -0.0157091 0
13.711 -14.6765 -0.204241 -0.00788209 0
13.225 -14.5597 -0.267211 0.00431162 0
12.7472 -14.4126 -0.330182 0.0210741 0
12.2796 -14.2357 -0.393153 0.0425789 0
11.8241 -14.0298 -0.456123 0.0689585 0
11.3824 -13.7956 -0.519094 0.100289 0
10.9564 -13.534 -0.582064 0.136572 0
10.5476 -13.2462 -0.645035 0.177719 0
10.1578 -12.9332 -0.708005 0.223533 0
9.78848 -12.5963 -0.770976 0.273692 0
9.44107 -12.2368 -0.833947 0.327739 0
9.11697 -11.8562 -0.896917 0.385082 0
8.81746 -11.4559 -0.959888 0.444993 0
8.54374 -11.0376 -1.02286 0.506635 0
8.29688 -10.6029 -1.08583 0.569082 0
8.07787 -10.1535 -1.1488 0.631361 0
7.88757 -9.69121 -1.21177 0.692496 0
7.72674 -9.21787 -1.27474 0.751553 0
7.59601 -8.73534 -1.33771 0.807681 0
7.49591 -8.24555 -1.40068 0.860144 0
7.42683 -7.75043 -1.46365 0.908346 0
7.36479 -7.25436 -1.41581 0.951836 0
7.42637 -7.75047 -1.47878 0.995521 1
7.45661 -8.24948 -1.54175 0.956842 1
7.45996 -8.48004 -1.57079 0.919368 1
